2025-02-13 06:22:26,106 - INFO - 開始下載 M3U 檔案: https://raw.githubusercontent.com/WaykeYu/IPTV1/refs/heads/main/GAT.m3u
2025-02-13 06:22:26,106 - ERROR - 程式執行失敗: name 'requests' is not defined
2025-02-13 06:26:00,860 - INFO - 開始下載 M3U 檔案: https://raw.githubusercontent.com/WaykeYu/IPTV1/refs/heads/main/GAT.m3u
2025-02-13 06:26:00,991 - INFO - 檔案已成功下載並保存到 ./GAT.m3u
2025-02-13 06:26:00,992 - INFO - 開始去除重複頻道並排序...
2025-02-13 06:26:00,996 - INFO - 已去除重複頻道並排序，結果保存到 ./GAT.m3u
2025-02-13 06:26:00,996 - INFO - 開始檢查頻道有效性...
2025-02-13 06:26:01,172 - WARNING - 無效頻道: #EXTINF:-1 tvg-id="" tvg-logo="" group-title="Undefined",CTS (HUA-CHI CTS) (1080p)
2025-02-13 06:26:01,172 - WARNING - 無效頻道: #EXTINF:-1 tvg-logo="https://raw.githubusercontent.com/linitfor/epg/main/logo/ELEVEN體育1.png" group-title="體育",ELEVEN體育1
2025-02-13 06:26:01,172 - WARNING - 無效頻道: #EXTINF:-1 tvg-logo="https://raw.githubusercontent.com/linitfor/epg/main/logo/ELEVEN體育1.png" group-title="體育",ELEVEN體育1
2025-02-13 06:26:01,172 - WARNING - 無效頻道: #EXTINF:-1 tvg-logo="https://raw.githubusercontent.com/linitfor/epg/main/logo/ELEVEN體育2.png" group-title="體育",ELEVEN體育2
2025-02-13 06:26:01,173 - WARNING - 無效頻道: #EXTINF:-1 tvg-logo="https://raw.githubusercontent.com/linitfor/epg/main/logo/ELEVEN體育2.png" group-title="體育",ELEVEN體育2
2025-02-13 06:26:01,173 - WARNING - 無效頻道: #EXTINF:-1 tvg-logo="https://raw.githubusercontent.com/linitfor/epg/main/logo/TVBS新聞.png" group-title="新聞",TVBS新聞
2025-02-13 06:26:01,173 - WARNING - 無效頻道: #EXTINF:-1 tvg-logo="https://raw.githubusercontent.com/linitfor/epg/main/logo/TVBS新聞.png" group-title="新聞",TVBS新聞
2025-02-13 06:26:01,173 - WARNING - 無效頻道: #EXTINF:-1 tvg-logo="https://raw.githubusercontent.com/linitfor/epg/main/logo/TVBS歡樂.png" group-title="綜合",TVBS歡樂
2025-02-13 06:26:01,173 - WARNING - 無效頻道: #EXTINF:-1 tvg-logo="https://raw.githubusercontent.com/linitfor/epg/main/logo/中視.png" group-title="新聞",中視
2025-02-13 06:26:01,173 - WARNING - 無效頻道: #EXTINF:-1 tvg-logo="https://raw.githubusercontent.com/linitfor/epg/main/logo/中視.png" group-title="新聞",中視
2025-02-13 06:26:01,173 - WARNING - 無效頻道: #EXTINF:-1 tvg-logo="https://raw.githubusercontent.com/linitfor/epg/main/logo/博斯魅力.png" group-title="體育",博斯魅力
2025-02-13 06:26:01,173 - WARNING - 無效頻道: #EXTINF:-1 tvg-logo="https://raw.githubusercontent.com/linitfor/epg/main/logo/台視.png" group-title="新聞",台視
2025-02-13 06:26:01,173 - WARNING - 無效頻道: #EXTINF:-1 tvg-logo="https://raw.githubusercontent.com/linitfor/epg/main/logo/台視.png" group-title="新聞",台視
2025-02-13 06:26:01,173 - WARNING - 無效頻道: #EXTINF:-1 tvg-logo="https://raw.githubusercontent.com/linitfor/epg/main/logo/愛爾達體育1.png" group-title="體育",愛爾達體育1
2025-02-13 06:26:01,173 - WARNING - 無效頻道: #EXTINF:-1 tvg-logo="https://raw.githubusercontent.com/linitfor/epg/main/logo/愛爾達體育3.png" group-title="體育",愛爾達體育3
2025-02-13 06:26:01,173 - WARNING - 無效頻道: #EXTINF:-1 tvg-logo="https://raw.githubusercontent.com/linitfor/epg/main/logo/愛爾達體育4.png" group-title="體育",愛爾達體育4
2025-02-13 06:26:01,173 - WARNING - 無效頻道: #EXTINF:-1 tvg-logo="https://raw.githubusercontent.com/linitfor/epg/main/logo/東森財經.png" group-title="新聞",東森財經
2025-02-13 06:26:01,173 - WARNING - 無效頻道: #EXTINF:-1 tvg-logo="https://raw.githubusercontent.com/linitfor/epg/main/logo/東森超視.png" group-title="綜合",東森超視
2025-02-13 06:26:01,173 - WARNING - 無效頻道: #EXTINF:-1 tvg-logo="https://raw.githubusercontent.com/linitfor/epg/main/logo/東森超視.png" group-title="綜合",東森超視
2025-02-13 06:26:01,173 - WARNING - 無效頻道: #EXTINF:-1 tvg-logo="https://raw.githubusercontent.com/linitfor/epg/main/logo/民視.png" group-title="新聞",民視
2025-02-13 06:26:01,173 - WARNING - 無效頻道: #EXTINF:-1 tvg-logo="https://raw.githubusercontent.com/linitfor/epg/main/logo/民視.png" group-title="新聞",民視
2025-02-13 06:26:01,173 - WARNING - 無效頻道: #EXTINF:-1 tvg-logo="https://raw.githubusercontent.com/linitfor/epg/main/logo/民視第一.png" group-title="綜合",民視第一
2025-02-13 06:26:01,174 - WARNING - 無效頻道: #EXTINF:-1 tvg-logo="https://raw.githubusercontent.com/linitfor/epg/main/logo/緯來日本.png" group-title="綜合",緯來日本
2025-02-13 06:26:01,174 - WARNING - 無效頻道: #EXTINF:-1 tvg-logo="https://raw.githubusercontent.com/linitfor/epg/main/logo/緯來日本.png" group-title="綜合",緯來日本
2025-02-13 06:26:01,174 - WARNING - 無效頻道: #EXTINF:-1 tvg-logo="https://raw.githubusercontent.com/linitfor/epg/main/logo/緯來日本.png" group-title="綜合",緯來日本
2025-02-13 06:26:01,174 - WARNING - 無效頻道: #EXTINF:-1 tvg-logo="https://raw.githubusercontent.com/linitfor/epg/main/logo/緯來育樂.png" group-title="體育",緯來育樂
2025-02-13 06:26:01,174 - WARNING - 無效頻道: #EXTINF:-1 tvg-logo="https://raw.githubusercontent.com/linitfor/epg/main/logo/緯來體育.png" group-title="體育",緯來體育
